,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year Joined,Investor_1,Investor_2,Investor_3,Investor_4
47,Chehaoduo,10.0,2016-03-12,China,Beijing,Consumer & Retail,"Sequoia Capital China, GX Capital",2016,Sequoia Capital China, GX Capital,,
48,Talkdesk,10.0,2018-10-03,United States,San Francisco,Enterprise Tech,"DJF, Salesforce Ventures, Storm Ventures",2018,DJF, Salesforce Ventures, Storm Ventures,
49,Notion,10.0,2020-04-01,United States,San Francisco,Enterprise Tech,"Index Ventures, Draft Ventures, Felicis Ventures",2020,Index Ventures, Draft Ventures, Felicis Ventures,
50,Digital Currency Group,10.0,2021-11-01,United States,New York,Financial Services,"Ribbit Capital, capitalG, Softbank Group",2021,Ribbit Capital, capitalG, Softbank Group,
51,KuCoin,10.0,2022-05-10,Seychelles,Victoria,Financial Services,"IDG Capital, Matrix Partners China, Jump Crypto",2022,IDG Capital, Matrix Partners China, Jump Crypto,
52,ServiceTitan,9.5,2018-11-14,United States,Glendale,Industrials,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",2018,Bessemer Venture Partners, ICONIQ Capital, Battery Ventures,
53,HEYTEA,9.28,2019-07-01,China,Shenzhen,Consumer & Retail,"Sequoia Capital China, Tencent Investment, BA Capital",2019,Sequoia Capital China, Tencent Investment, BA Capital,
54,N26,9.23,2019-01-10,Germany,Berlin,Financial Services,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2019,Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures,
55,Navan,9.2,2018-11-08,United States,Palo Alto,Enterprise Tech,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",2018,Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures,
56,VAST Data,9.1,2020-04-16,United States,New York,Enterprise Tech,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2020,Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital,
57,Northvolt,9.08,2019-06-12,Sweden,Stockholm,Industrials,"Vattenfall, Volkswagen Group, Goldman Sachs",2019,Vattenfall, Volkswagen Group, Goldman Sachs,
58,Tanium,9.0,2015-03-31,United States,Kirkland,Enterprise Tech,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2015,Andreessen Horowitz, Nor-Cal Invest, TPG Growth,
59,Niantic,9.0,2017-11-24,United States,San Francisco,Media & Entertainment,"Nintendo, Google, Pokemon Company International, Spark Capital",2017,Nintendo, Google, Pokemon Company International, Spark Capital
60,OYO Rooms,9.0,2018-09-25,India,Gurugram,Consumer & Retail,"SoftBank Group, Sequoia Capital India, Lightspeed India Partners",2018,SoftBank Group, Sequoia Capital India, Lightspeed India Partners,
61,Rapyd,8.75,2019-12-03,United Kingdom,London,Financial Services,"Target Global, General Catalyst, Durable Capital Partners",2019,Target Global, General Catalyst, Durable Capital Partners,
62,Kavak,8.7,2020-10-01,Mexico,Lerma de Villada,Industrials,"DST Global, SoftBank Group, Mountain Nazca",2020,DST Global, SoftBank Group, Mountain Nazca,
63,Nuro,8.6,2019-02-11,United States,Mountain View,Industrials,"SoftBank Group, Greylock Partners, Gaorong Capital",2019,SoftBank Group, Greylock Partners, Gaorong Capital,
64,Chainalysis,8.6,2020-11-23,United States,New York,Financial Services,"Addition, Benhcmark, Accel",2020,Addition, Benhcmark, Accel,
65,Pony.ai,8.6,2018-07-11,United States,Fremont,Industrials,"Sequoia Capital China, IDG Capital, DCM Ventures",2018,Sequoia Capital China, IDG Capital, DCM Ventures,
66,Personio,8.5,2021-01-19,Germany,Munich,Enterprise Tech,"Global Founders Capital, Nortzone Ventures, Picus Capital",2021,Global Founders Capital, Nortzone Ventures, Picus Capital,
67,SumUp,8.5,2019-07-16,United Kingdom,London,Financial Services,"American Express Ventures, Goldman Sachs, Bain Capital Credit",2019,American Express Ventures, Goldman Sachs, Bain Capital Credit,
68,Bolt,8.4,2018-05-29,Estonia,Tallinn,Industrials,"Didi Chuxing, Diamler, TMT Investments",2018,Didi Chuxing, Diamler, TMT Investments,
69,Tipalti,8.3,2020-10-06,United States,San Mateo,Enterprise Tech,"01 Advisors, Zeev Ventures, Group 11",2020,01 Advisors, Zeev Ventures, Group 11,
70,Swiggy,8.0,2018-06-21,India,Bengaluru,Consumer & Retail,"Accel India, SAIF Partners, Norwest Venture Partners",2018,Accel India, SAIF Partners, Norwest Venture Partners,
71,Dream11,8.0,2019-04-09,India,Mumbai,Media & Entertainment,"Kaalari Capital, Tencent Holdings, Steadview Capital",2019,Kaalari Capital, Tencent Holdings, Steadview Capital,
72,Fireblocks,8.0,2021-07-27,United States,New York,Financial Services,"Tenaya Capital, Coatue Management, Stripes Group",2021,Tenaya Capital, Coatue Management, Stripes Group,
73,Flexport,8.0,2018-04-30,United States,San Francisco,Industrials,"Bloomberg Beta, Founders Fund, First Round Capital",2018,Bloomberg Beta, Founders Fund, First Round Capital,
74,FalconX,8.0,2021-08-10,United States,San Mateo,Financial Services,"Tiger Global Management, American Express Ventures, B Capital Group",2021,Tiger Global Management, American Express Ventures, B Capital Group,
75,Caris,7.83,2021-05-12,United States,Irving,Healthcare & Life Sciences,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",2021,Sixth Street Partners, OrbiMed Advisors, Highland Capital Management,
